,client_id,start,step_1,step_2,step_3,confirm,Variation,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth
38056,7516259,1,1,1,1,1,Control,7.0,93.0,35.5,U,2.0,34387.79,3.0,6.0
38057,7516737,2,0,0,0,0,Control,4.0,58.0,22.0,U,2.0,34305.24,6.0,9.0
38059,7516827,1,1,1,1,1,Control,19.0,238.0,64.5,F,2.0,85104.79000000001,3.0,6.0
38060,7516880,14,2,5,1,1,Control,8.0,96.0,32.0,U,3.0,102982.19,6.0,9.0
38063,7517412,1,1,1,1,0,Control,29.0,353.0,64.0,F,2.0,26926.26,2.0,5.0
38064,7517429,2,2,2,4,2,Control,21.0,257.0,53.5,U,2.0,96064.75,3.0,6.0
38068,7518703,1,1,1,1,1,Control,4.0,59.0,28.0,U,2.0,53264.96,0.0,3.0
38069,7518844,2,1,1,1,1,Control,7.0,94.0,55.0,U,3.0,76541.33,1.0,4.0
38070,7519157,3,2,2,2,2,Control,11.0,136.0,53.0,M,2.0,43989.78999999999,2.0,5.0
38072,7519549,3,1,1,1,1,Control,17.0,205.0,64.5,M,2.0,73118.64,4.0,7.0
38076,7520504,2,1,1,1,1,Control,15.0,183.0,60.5,F,2.0,122181.47,3.0,6.0
38080,7521289,1,0,0,0,0,Control,23.0,287.0,24.0,M,2.0,27919.35,3.0,6.0
38083,7521788,1,1,1,1,1,Control,30.0,369.0,51.5,M,2.0,87757.78,5.0,8.0
38086,7522380,8,1,0,0,0,Control,16.0,195.0,82.0,M,2.0,96342.92,6.0,9.0
38087,7522558,2,0,0,0,0,Control,19.0,228.0,51.0,U,3.0,45491.03999999999,2.0,5.0
38089,7523181,3,3,3,2,0,Control,5.0,65.0,39.0,U,3.0,81254.01999999999,5.0,8.0
38090,7523200,1,0,0,0,0,Control,9.0,118.0,29.0,F,2.0,82772.68,6.0,9.0
38092,7523230,1,1,1,0,0,Control,13.0,161.0,73.0,F,2.0,221765.49,2.0,5.0
38096,7524332,4,1,1,0,0,Control,23.0,282.0,20.0,M,3.0,107459.11,4.0,7.0
38097,7524570,1,1,2,2,1,Control,14.0,172.0,35.5,M,2.0,43732.08,6.0,9.0
38100,7525052,3,1,1,1,0,Control,3.0,39.0,63.0,U,2.0,145847.99,6.0,9.0
38102,7525142,7,2,1,1,5,Control,12.0,145.0,67.5,F,2.0,344336.7,4.0,7.0
38103,7525168,1,1,1,1,1,Control,12.0,149.0,32.5,F,2.0,27173.13,6.0,9.0
38106,7525993,1,2,1,1,1,Control,7.0,86.0,44.0,U,4.0,225502.49,5.0,8.0
38109,7526606,1,1,1,1,0,Control,6.0,75.0,71.0,U,2.0,56016.94,4.0,7.0
38111,7527045,1,1,0,0,0,Control,17.0,206.0,56.0,F,2.0,23809.09,4.0,7.0
38113,7527462,2,2,2,2,0,Control,7.0,92.0,39.0,U,4.0,597459.8200000001,6.0,9.0
38117,7528220,2,0,0,0,0,Control,5.0,63.0,30.0,F,2.0,35080.42,4.0,7.0
38118,7528312,1,1,0,0,0,Control,16.0,196.0,29.0,F,3.0,111231.56,6.0,9.0
38124,7529460,1,1,1,1,1,Control,4.0,58.0,19.5,U,2.0,31301.07,2.0,5.0
38127,7529953,2,1,2,2,1,Control,15.0,189.0,35.5,U,2.0,26403.92,0.0,3.0
38129,7530138,1,1,1,1,1,Control,10.0,127.0,67.5,M,2.0,876657.52,6.0,9.0
38130,7530155,6,1,1,1,0,Control,6.0,72.0,26.0,U,2.0,60193.21,5.0,8.0
38134,7530875,2,3,1,1,1,Control,3.0,44.0,27.0,U,2.0,26065.92,3.0,6.0
38138,7533358,5,3,4,2,3,Control,23.0,278.0,55.0,M,2.0,316833.64,6.0,9.0
38140,7533784,1,0,0,0,0,Control,17.0,213.0,66.0,U,2.0,37363.51,2.0,5.0
38141,7533947,2,1,1,1,1,Control,5.0,67.0,24.0,U,2.0,26993.34,2.0,5.0
38145,7534618,2,2,1,1,1,Control,4.0,58.0,52.0,U,2.0,51277.85,2.0,5.0
38146,7534652,12,3,3,2,1,Control,6.0,82.0,28.0,U,2.0,44184.78,2.0,5.0
38148,7535001,3,2,4,4,1,Control,14.0,168.0,58.5,M,2.0,203054.24,2.0,5.0
38151,7535519,1,1,3,3,1,Control,5.0,67.0,23.5,U,2.0,36797.12,5.0,8.0
38153,7536028,2,1,1,1,1,Control,6.0,72.0,52.5,F,2.0,28801.35,2.0,5.0
38155,7536655,1,1,1,1,1,Control,23.0,281.0,54.5,F,2.0,48977.63,0.0,3.0
38156,7536684,4,0,0,0,0,Control,6.0,72.0,25.0,U,2.0,47175.25,5.0,8.0
38157,7536945,1,1,1,1,2,Control,13.0,162.0,44.5,F,2.0,139514.27000000002,1.0,4.0
38161,7537958,1,0,0,0,0,Control,4.0,55.0,78.0,M,2.0,33722.88,6.0,9.0
38162,7537987,1,2,1,1,1,Control,13.0,160.0,36.0,M,2.0,58995.29,6.0,9.0
38163,7538120,2,3,3,2,1,Control,5.0,69.0,40.5,U,2.0,38387.34,6.0,9.0
38164,7538160,1,1,1,1,1,Control,15.0,182.0,31.5,M,2.0,55846.92999999999,4.0,7.0
38166,7539129,3,2,2,2,1,Control,14.0,168.0,61.0,M,2.0,215622.58,6.0,9.0
38168,7539703,2,1,1,1,1,Control,8.0,101.0,36.5,U,2.0,82529.61,0.0,3.0
38174,7541656,4,1,1,1,1,Control,12.0,145.0,65.5,F,2.0,59234.3,1.0,4.0
38177,7542559,1,1,1,1,1,Control,10.0,121.0,24.5,M,2.0,32030.79,6.0,9.0
38178,7542655,9,3,0,0,2,Control,23.0,276.0,74.0,F,3.0,262005.97,6.0,9.0
38179,7543100,1,0,0,0,0,Control,8.0,101.0,41.0,U,2.0,24929.98,2.0,5.0
38180,7543252,2,0,0,0,0,Control,8.0,104.0,26.0,F,2.0,104350.93,4.0,7.0
38183,7544121,3,1,1,1,1,Control,19.0,236.0,44.5,M,2.0,139319.47999999998,4.0,7.0
38186,7544412,2,2,1,1,1,Control,13.0,163.0,57.5,F,2.0,96103.21,6.0,9.0
38188,7544596,2,1,2,0,0,Control,21.0,255.0,25.0,F,3.0,87351.04999999999,4.0,7.0
38190,7544962,2,1,0,0,0,Control,24.0,289.0,78.0,F,2.0,180565.62,2.0,5.0
38192,7546162,1,1,1,1,1,Control,7.0,85.0,72.5,U,2.0,34184.509999999995,3.0,6.0
38194,7546769,1,1,0,0,0,Control,20.0,246.0,63.0,M,2.0,178935.26,6.0,9.0
38195,7546798,1,1,1,1,1,Control,28.0,336.0,60.5,F,2.0,366749.67,5.0,8.0
38205,7549366,4,0,0,0,0,Control,22.0,272.0,61.0,F,3.0,264361.66,6.0,9.0
38206,7549476,2,2,2,1,1,Control,5.0,69.0,58.5,F,2.0,104203.45,4.0,7.0
38207,7549559,2,2,0,0,0,Control,19.0,231.0,39.0,F,4.0,704503.93,1.0,4.0
38208,7549818,1,1,1,1,1,Control,4.0,56.0,42.5,U,2.0,116318.64,0.0,3.0
38210,7550339,1,1,1,1,1,Control,12.0,145.0,44.0,F,2.0,44234.39,4.0,7.0
38213,7550662,2,1,1,1,1,Control,4.0,58.0,24.0,U,2.0,27446.24,0.0,3.0
38214,7550898,1,1,1,1,1,Control,9.0,119.0,33.5,M,3.0,48715.61,1.0,4.0
38216,7551383,1,1,1,1,1,Control,24.0,290.0,41.5,F,3.0,423349.37,1.0,5.0
38218,7551662,2,1,1,1,1,Control,4.0,51.0,34.0,U,2.0,76409.72,4.0,7.0
38219,7551666,3,3,1,1,1,Control,7.0,85.0,62.5,U,2.0,61664.01,6.0,9.0
38220,7551676,1,1,1,1,1,Control,4.0,59.0,32.0,U,2.0,59315.9,5.0,8.0
38221,7552391,2,1,1,1,1,Control,7.0,87.0,30.5,U,2.0,34377.119999999995,6.0,9.0
38223,7552544,1,1,3,2,1,Control,31.0,382.0,68.5,F,2.0,238630.29,4.0,7.0
38224,7552674,3,1,3,0,0,Control,6.0,72.0,60.0,M,2.0,25855.69,0.0,3.0
38226,7552835,2,9,1,1,0,Control,4.0,58.0,33.0,U,2.0,35903.57,2.0,5.0
38227,7553011,1,1,1,1,1,Control,16.0,195.0,59.5,M,2.0,200225.62,5.0,8.0
38229,7553621,1,1,1,1,1,Control,6.0,82.0,30.5,U,3.0,155780.51,0.0,3.0
38234,7554258,1,1,1,1,1,Control,13.0,167.0,30.5,U,2.0,123123.22,1.0,4.0
38235,7554295,1,0,0,0,0,Control,11.0,136.0,80.0,M,2.0,291237.3,6.0,9.0
38238,7554652,1,1,1,1,0,Control,6.0,82.0,51.0,U,2.0,643146.75,1.0,4.0
38240,7554994,1,1,1,1,2,Control,5.0,64.0,29.0,U,2.0,43872.19,1.0,4.0
38241,7555239,1,1,0,0,0,Control,16.0,193.0,31.0,M,2.0,59763.74,6.0,9.0
38242,7555597,1,1,1,1,1,Control,19.0,229.0,35.5,F,2.0,66828.07,1.0,4.0
38243,7555845,2,2,2,1,1,Control,8.0,105.0,29.5,M,2.0,49350.27,0.0,3.0
38245,7556262,1,1,1,1,1,Control,13.0,156.0,70.5,F,2.0,37465.25,2.0,5.0
38247,7556563,7,0,0,0,0,Control,27.0,335.0,78.0,F,2.0,224991.93,1.0,4.0
38248,7557120,3,1,1,1,1,Control,22.0,270.0,63.0,F,2.0,234249.04,5.0,8.0
