,client_id,start,step_1,step_2,step_3,confirm,Variation,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth
3,1028,1,5,2,1,0,Control,12.0,145.0,36.0,M,3.0,103520.22,1.0,4.0
4,1104,2,0,0,0,0,Control,5.0,66.0,48.0,U,3.0,154643.94,6.0,9.0
5,1186,2,1,1,0,0,Control,8.0,99.0,22.0,U,2.0,31662.52,0.0,3.0
6,1195,1,1,1,1,1,Control,21.0,262.0,54.5,M,2.0,28457.96,2.0,5.0
7,1197,1,1,2,2,1,Control,7.0,85.0,28.5,U,5.0,177062.14,5.0,8.0
10,1368,1,0,0,0,0,Control,5.0,60.0,45.0,F,3.0,61956.25,6.0,9.0
17,2439,1,0,0,0,0,Control,11.0,142.0,56.0,M,2.0,504142.55,0.0,3.0
18,2581,1,0,0,0,0,Control,4.0,58.0,22.0,M,2.0,24976.79,1.0,4.0
22,3647,3,1,1,1,0,Control,15.0,190.0,63.0,F,2.0,154244.15,4.0,7.0
23,3743,1,1,1,1,1,Control,6.0,75.0,30.0,U,3.0,48262.21,3.0,6.0
29,5354,2,2,1,1,1,Control,4.0,58.0,50.5,U,2.0,62282.38,2.0,5.0
33,6642,1,1,1,1,1,Control,12.0,149.0,35.5,M,2.0,34987.23,0.0,3.0
35,6977,2,1,1,1,1,Control,4.0,57.0,53.0,U,2.0,26011.36,0.0,3.0
36,6985,2,1,1,1,1,Control,7.0,89.0,61.5,U,3.0,84975.6,6.0,9.0
37,7020,3,4,2,2,1,Control,16.0,195.0,41.5,F,2.0,63648.09,2.0,5.0
40,7567,2,1,1,1,1,Control,21.0,252.0,33.0,F,2.0,27165.99,1.0,5.0
45,8039,1,1,1,1,0,Control,18.0,226.0,58.0,U,2.0,79960.0,6.0,9.0
47,8101,1,1,1,1,1,Control,11.0,143.0,70.5,M,2.0,257863.03,6.0,9.0
48,8124,1,0,0,0,0,Control,14.0,170.0,42.0,M,2.0,61022.23,5.0,8.0
52,9229,3,3,2,0,0,Control,8.0,105.0,42.0,M,2.0,78242.15,6.0,9.0
54,9767,3,2,2,2,1,Control,6.0,75.0,34.0,M,2.0,29523.54,1.0,4.0
55,9845,1,0,0,0,0,Control,5.0,60.0,25.0,F,2.0,31196.85,0.0,3.0
57,10344,5,0,0,0,0,Control,17.0,205.0,82.0,M,2.0,94009.47,3.0,6.0
60,11054,2,1,1,1,1,Control,4.0,56.0,60.0,M,2.0,208185.54,2.0,5.0
61,11070,5,2,2,2,1,Control,14.0,171.0,53.5,M,3.0,255988.05,6.0,9.0
62,11122,1,1,1,1,1,Control,16.0,194.0,40.5,M,2.0,31193.51,2.0,5.0
65,12045,2,1,1,0,0,Control,12.0,154.0,37.0,F,2.0,140704.74,2.0,5.0
67,13009,1,1,2,4,1,Control,10.0,121.0,63.5,U,2.0,71534.88,1.0,4.0
69,13831,6,2,1,0,0,Control,16.0,194.0,42.0,F,3.0,241208.2,6.0,9.0
71,14775,1,0,0,0,0,Control,15.0,191.0,28.0,F,4.0,150775.9,5.0,8.0
76,16095,1,1,1,1,0,Control,6.0,76.0,30.0,U,2.0,81652.98,1.0,4.0
78,16135,7,5,1,1,1,Control,14.0,170.0,63.5,F,2.0,173616.2,3.0,6.0
79,16202,2,1,0,0,0,Control,7.0,94.0,36.0,U,2.0,32984.48,1.0,4.0
81,16549,4,2,2,2,2,Control,24.0,294.0,55.5,F,3.0,314799.02,4.0,7.0
82,16679,6,1,1,0,0,Control,7.0,89.0,40.0,U,2.0,65987.79999999999,6.0,9.0
83,16744,2,0,0,0,0,Control,18.0,224.0,62.0,F,2.0,117267.04,1.0,4.0
84,16747,1,1,1,1,1,Control,13.0,166.0,31.5,F,2.0,64652.09,1.0,4.0
86,17008,1,1,1,1,1,Control,25.0,304.0,55.5,M,2.0,27571.03,1.0,4.0
87,17036,1,1,1,1,1,Control,5.0,65.0,34.5,U,3.0,49959.53,3.0,6.0
88,17160,4,3,1,1,1,Control,14.0,169.0,53.5,F,3.0,140511.63,6.0,9.0
93,18660,2,2,0,0,0,Control,18.0,222.0,45.0,M,2.0,98708.9,2.0,5.0
94,18973,2,1,1,1,1,Control,13.0,160.0,54.0,M,4.0,353529.66,1.0,4.0
96,19613,1,0,0,0,0,Control,7.0,84.0,26.0,U,2.0,69056.51999999999,4.0,7.0
97,19782,1,1,1,1,1,Control,6.0,82.0,61.5,U,2.0,27840.35,2.0,5.0
98,19813,2,1,1,1,1,Control,14.0,168.0,65.0,F,2.0,31462.06,0.0,3.0
99,19832,1,1,1,1,1,Control,14.0,168.0,63.5,F,2.0,97291.64,3.0,6.0
100,20091,3,2,1,1,1,Control,5.0,70.0,21.0,U,3.0,69958.08,5.0,8.0
102,20537,1,1,1,1,1,Control,9.0,109.0,74.5,F,2.0,72955.33,6.0,9.0
106,20898,1,0,0,0,0,Control,4.0,58.0,27.0,U,2.0,44859.81,3.0,6.0
108,21242,1,1,1,1,1,Control,13.0,163.0,30.5,F,2.0,42414.56,6.0,9.0
110,21353,1,1,3,3,1,Control,21.0,260.0,77.5,F,2.0,25418.25,2.0,5.0
112,21498,5,2,2,2,1,Control,16.0,193.0,70.5,F,2.0,50672.1,5.0,8.0
115,21719,1,1,1,1,0,Control,5.0,60.0,27.0,M,2.0,30765.88,0.0,3.0
116,21940,5,2,2,1,1,Control,12.0,150.0,43.5,M,2.0,33031.88,6.0,9.0
117,21970,2,2,2,2,1,Control,5.0,65.0,22.5,U,4.0,170906.62,4.0,7.0
120,22885,5,7,6,5,0,Control,5.0,70.0,32.0,F,3.0,149784.99,6.0,9.0
121,23276,1,1,1,3,1,Control,13.0,158.0,67.5,M,2.0,183345.95,3.0,6.0
122,23864,1,1,1,1,1,Control,16.0,196.0,47.5,M,2.0,192922.53,2.0,5.0
124,24079,3,0,0,0,0,Control,10.0,125.0,30.0,F,2.0,183067.04,6.0,9.0
128,24710,1,1,1,1,1,Control,21.0,259.0,49.0,F,3.0,499093.11,4.0,7.0
132,25043,1,1,1,1,1,Control,25.0,310.0,59.5,F,2.0,101511.78,6.0,9.0
133,25766,1,1,2,2,1,Control,15.0,181.0,33.5,F,2.0,70057.79000000001,0.0,3.0
137,26211,1,1,1,1,1,Control,15.0,181.0,41.5,F,2.0,175885.87,0.0,3.0
138,26286,1,1,0,0,0,Control,12.0,149.0,71.0,F,2.0,27511.56,3.0,6.0
140,27021,2,2,2,2,1,Control,9.0,114.0,34.5,M,3.0,94571.25,6.0,9.0
142,27241,3,3,2,1,1,Control,8.0,101.0,34.5,U,5.0,645122.5,6.0,9.0
143,27554,1,1,1,1,1,Control,16.0,194.0,36.0,M,2.0,88188.19,3.0,6.0
146,27988,8,2,2,1,1,Control,28.0,345.0,60.0,F,3.0,303467.75,6.0,9.0
149,28542,1,1,1,1,1,Control,16.0,195.0,55.0,M,3.0,392091.16,0.0,3.0
150,28705,3,3,2,1,1,Control,15.0,190.0,53.0,F,2.0,24910.86,6.0,9.0
151,28845,1,1,1,1,1,Control,12.0,144.0,33.5,M,2.0,129771.01,1.0,4.0
152,28857,4,5,4,3,1,Control,14.0,178.0,52.0,M,2.0,104511.86,3.0,6.0
155,29595,1,1,1,1,3,Control,5.0,68.0,37.0,U,2.0,46514.58,3.0,6.0
159,31191,2,0,0,0,0,Control,15.0,189.0,20.0,M,2.0,26368.84,3.0,6.0
160,31264,3,2,2,1,1,Control,14.0,174.0,37.0,M,2.0,60888.18,5.0,8.0
164,31502,2,2,2,2,1,Control,7.0,84.0,47.5,U,2.0,57208.46,1.0,4.0
166,31715,1,1,1,1,1,Control,7.0,85.0,32.5,U,2.0,44980.67999999999,1.0,4.0
168,32197,1,1,1,1,1,Control,15.0,183.0,42.5,M,2.0,36420.05,1.0,4.0
169,32305,1,1,0,0,0,Control,7.0,95.0,69.0,F,2.0,239151.07,2.0,5.0
173,32859,1,1,1,1,0,Control,4.0,48.0,66.0,U,2.0,36500.69,1.0,4.0
174,33190,1,1,1,1,1,Control,14.0,171.0,44.0,F,2.0,108890.4,5.0,8.0
176,33463,2,3,3,3,1,Control,4.0,59.0,33.5,U,2.0,41910.53999999999,2.0,5.0
179,34067,2,2,1,1,1,Control,21.0,262.0,65.5,M,3.0,66801.59,4.0,7.0
181,34267,1,1,1,1,1,Control,21.0,255.0,74.5,M,2.0,38494.91,1.0,4.0
182,34501,4,2,2,0,0,Control,11.0,143.0,40.0,F,2.0,110211.33,2.0,5.0
183,34603,1,1,1,1,1,Control,16.0,194.0,40.5,M,2.0,58331.59,0.0,3.0
185,34631,3,2,1,1,0,Control,12.0,154.0,52.0,M,2.0,25427.2,3.0,6.0
187,35087,1,2,2,0,0,Control,13.0,158.0,22.0,M,3.0,49199.85,0.0,3.0
191,35257,1,1,1,1,1,Control,7.0,85.0,32.5,U,2.0,60991.71,2.0,5.0
192,35346,1,1,1,1,1,Control,7.0,88.0,32.5,U,3.0,57444.72,3.0,6.0
193,35417,1,1,1,1,1,Control,19.0,230.0,26.5,F,2.0,73654.44,3.0,6.0
196,36109,2,2,1,1,3,Control,21.0,257.0,71.5,M,4.0,68812.69,6.0,9.0
203,37064,1,1,3,3,1,Control,5.0,60.0,32.5,U,2.0,31717.63,6.0,9.0
204,37295,2,1,2,2,1,Control,7.0,90.0,31.5,U,2.0,57177.26,3.0,6.0
205,37408,1,1,1,1,1,Control,6.0,82.0,46.5,U,2.0,35471.71,0.0,3.0
215,38685,1,1,1,1,2,Control,20.0,248.0,53.0,F,3.0,116735.94,4.0,7.0
216,38714,1,1,1,1,1,Control,10.0,122.0,60.0,M,2.0,51584.55,6.0,9.0
218,38930,1,2,2,2,1,Control,22.0,274.0,25.5,F,2.0,66409.57,3.0,6.0
219,38963,1,1,1,1,1,Control,20.0,245.0,45.5,M,2.0,752084.8200000001,0.0,5.0
221,39075,1,1,1,1,1,Control,14.0,177.0,62.5,F,2.0,226185.21,2.0,5.0
223,39968,2,0,0,0,0,Control,4.0,57.0,50.0,F,2.0,58599.55,3.0,6.0
231,41516,1,1,1,1,1,Control,8.0,106.0,55.0,F,2.0,139892.15,2.0,5.0
232,41652,1,1,0,0,0,Control,7.0,86.0,55.0,U,2.0,32307.6,0.0,3.0
234,42082,2,1,1,1,1,Control,16.0,194.0,36.0,F,2.0,47308.03,0.0,3.0
235,42296,4,1,0,0,0,Control,28.0,339.0,81.0,M,2.0,55745.51,2.0,5.0
238,43494,4,1,1,0,0,Control,22.0,269.0,62.0,F,2.0,119162.85,3.0,6.0
240,43766,1,1,0,0,0,Control,11.0,140.0,44.0,M,2.0,29334.71,0.0,3.0
241,44060,2,3,2,1,1,Control,5.0,64.0,44.5,U,2.0,142002.43,2.0,5.0
242,44216,3,1,1,1,1,Control,16.0,196.0,44.0,M,2.0,79616.53,6.0,9.0
244,44860,1,1,1,1,1,Control,4.0,57.0,31.5,U,2.0,59942.13,2.0,5.0
251,46223,1,1,1,1,0,Control,9.0,109.0,67.0,M,2.0,136226.01,5.0,8.0
254,47402,3,1,1,0,0,Control,7.0,92.0,27.0,U,2.0,45676.12,6.0,9.0
255,47571,1,1,1,1,1,Control,5.0,68.0,25.5,U,2.0,61967.39,3.0,6.0
257,47933,3,2,1,1,1,Control,13.0,156.0,49.5,F,2.0,95327.95,1.0,4.0
258,48241,8,7,3,0,0,Control,21.0,262.0,58.0,M,2.0,51519.06,6.0,9.0
259,48424,4,4,2,3,0,Control,23.0,276.0,42.0,M,3.0,240048.86,5.0,8.0
260,48431,1,1,1,1,1,Control,12.0,150.0,54.5,F,2.0,82479.58,4.0,7.0
263,49412,1,1,3,3,1,Control,11.0,136.0,51.5,M,2.0,238126.92,1.0,4.0
264,49450,2,2,2,2,1,Control,22.0,271.0,62.5,U,2.0,31843.88,3.0,6.0
269,50185,1,1,1,1,1,Control,5.0,71.0,45.0,U,2.0,37936.41,0.0,3.0
270,50271,1,1,1,1,1,Control,6.0,73.0,35.5,U,2.0,35740.369999999995,5.0,8.0
273,50643,3,1,2,1,2,Control,11.0,142.0,53.0,F,2.0,145174.91,4.0,7.0
274,50692,1,0,0,0,0,Control,5.0,62.0,54.0,U,2.0,54807.52,5.0,8.0
277,51706,1,1,1,1,1,Control,6.0,73.0,23.0,M,4.0,140006.03999999998,6.0,9.0
278,51814,1,1,1,1,1,Control,24.0,290.0,60.5,F,2.0,236352.06,3.0,6.0
279,51902,1,1,1,1,1,Control,14.0,176.0,41.0,M,2.0,41382.42,4.0,7.0
280,52111,6,4,2,3,1,Control,8.0,106.0,46.0,M,2.0,72348.72,0.0,3.0
282,52384,2,0,0,0,0,Control,18.0,216.0,62.0,F,2.0,52521.28999999999,3.0,6.0
283,52456,2,2,2,3,1,Control,5.0,66.0,55.5,U,2.0,312484.73,5.0,8.0
284,52461,1,1,1,1,1,Control,12.0,152.0,46.0,F,2.0,118898.6,1.0,4.0
286,52765,1,1,1,1,1,Control,8.0,98.0,26.5,U,2.0,28268.31,1.0,4.0
287,53094,1,1,1,1,1,Control,7.0,84.0,29.5,U,2.0,58994.77,0.0,3.0
288,53123,1,1,1,1,1,Control,23.0,277.0,54.5,M,3.0,67585.11,6.0,9.0
289,53126,1,1,1,1,1,Control,6.0,73.0,37.5,U,2.0,74616.14,1.0,4.0
290,53169,2,0,0,0,0,Control,11.0,141.0,44.0,F,2.0,91918.0,6.0,9.0
292,53990,1,1,1,1,0,Control,9.0,119.0,66.0,M,2.0,39756.46,4.0,7.0
294,54291,1,1,1,1,1,Control,14.0,176.0,54.5,M,2.0,31387.6,2.0,5.0
295,54363,1,1,1,1,1,Control,16.0,199.0,86.5,F,2.0,340181.99,4.0,7.0
296,54477,1,0,0,0,0,Control,11.0,136.0,34.0,F,2.0,28455.07,3.0,6.0
301,55448,3,2,1,1,1,Control,9.0,110.0,58.5,F,2.0,41450.38,3.0,6.0
304,56529,4,1,1,1,1,Control,14.0,171.0,38.0,M,2.0,79617.16,6.0,9.0
306,56782,3,1,1,0,0,Control,10.0,124.0,45.0,M,2.0,116019.67,6.0,9.0
308,58001,2,3,1,1,1,Control,17.0,212.0,64.5,M,2.0,587219.4700000001,3.0,6.0
310,58196,9,3,2,2,1,Control,7.0,86.0,45.5,U,2.0,59031.46,6.0,9.0
311,58456,6,3,1,1,4,Control,15.0,183.0,61.0,U,2.0,33476.259999999995,5.0,8.0
312,58589,3,3,3,3,1,Control,9.0,119.0,41.0,U,2.0,86738.88,3.0,6.0
313,58676,1,1,1,1,1,Control,4.0,58.0,51.5,F,2.0,42749.84,0.0,3.0
315,58917,2,3,1,1,1,Control,14.0,170.0,73.0,M,2.0,135903.59,4.0,7.0
317,59089,2,1,1,1,1,Control,7.0,94.0,61.0,U,2.0,55961.32,0.0,3.0
320,59605,1,1,0,0,0,Control,15.0,189.0,59.0,F,2.0,94987.66,5.0,8.0
321,59782,2,2,1,1,1,Control,6.0,83.0,65.5,U,2.0,368237.57,2.0,5.0
323,59860,4,4,1,1,1,Control,8.0,106.0,52.0,F,2.0,99777.08,3.0,6.0
332,62058,1,0,0,0,0,Control,4.0,59.0,42.0,U,3.0,51675.66,1.0,4.0
334,62498,1,0,0,0,0,Control,26.0,318.0,66.0,F,2.0,197498.28,0.0,3.0
335,62503,3,1,1,1,0,Control,7.0,85.0,37.0,U,2.0,148326.71,6.0,9.0
339,62837,1,1,0,0,0,Control,14.0,178.0,31.0,M,2.0,141890.14,6.0,9.0
340,63001,1,1,1,0,0,Control,23.0,279.0,28.0,M,4.0,122948.27,5.0,8.0
341,63377,1,1,1,1,1,Control,5.0,66.0,26.5,U,2.0,52217.12,6.0,9.0
346,64020,1,2,2,1,1,Control,15.0,189.0,46.5,F,2.0,30617.57,0.0,3.0
349,64871,1,1,1,1,3,Control,15.0,182.0,47.0,M,2.0,59767.83,2.0,5.0
351,64964,2,2,1,1,1,Control,28.0,343.0,64.5,F,2.0,309748.62,0.0,3.0
353,65716,2,1,3,3,1,Control,12.0,145.0,45.0,F,3.0,124943.26,1.0,4.0
354,65845,1,1,1,1,1,Control,9.0,108.0,61.5,M,3.0,1404725.64,5.0,8.0
356,66169,2,2,2,2,1,Control,14.0,174.0,45.5,M,2.0,36003.61,2.0,5.0
358,66543,2,0,0,0,0,Control,22.0,272.0,65.0,F,2.0,49652.73,4.0,7.0
364,68116,1,0,0,0,0,Control,4.0,59.0,35.0,F,2.0,50822.41,0.0,3.0
365,68170,2,0,0,0,0,Control,24.0,288.0,60.0,F,2.0,140668.22,0.0,3.0
367,68830,2,2,1,1,1,Control,13.0,161.0,32.5,M,3.0,187433.08,6.0,9.0
368,68854,3,1,1,1,1,Control,9.0,112.0,51.5,M,2.0,28772.33,2.0,5.0
371,68963,5,3,2,2,1,Control,31.0,373.0,56.5,M,3.0,100637.5,6.0,9.0
372,69255,1,0,0,1,1,Control,10.0,121.0,58.5,F,3.0,183269.84000000003,6.0,9.0
375,69598,1,1,1,1,1,Control,8.0,106.0,58.0,F,2.0,27306.32,3.0,6.0
376,70225,1,1,1,3,1,Control,10.0,124.0,33.5,F,2.0,98031.52,3.0,6.0
380,71296,5,5,1,1,1,Control,30.0,371.0,72.5,F,3.0,122614.26,3.0,6.0
381,71476,1,0,0,0,0,Control,4.0,58.0,53.0,U,2.0,39344.13,0.0,3.0
382,71626,2,3,1,1,0,Control,14.0,170.0,78.0,F,2.0,367258.8,1.0,4.0
384,72221,3,3,3,3,1,Control,11.0,138.0,50.5,M,2.0,629755.24,6.0,9.0
390,73331,1,1,1,1,1,Control,14.0,177.0,50.5,F,2.0,58785.07,6.0,9.0
391,73335,1,1,1,1,1,Control,12.0,148.0,37.0,M,2.0,68041.32,0.0,3.0
392,73453,2,1,1,1,1,Control,16.0,201.0,56.5,M,2.0,1194883.41,6.0,9.0
395,73910,1,1,1,1,1,Control,10.0,123.0,27.5,M,2.0,47739.17,1.0,4.0
396,74169,3,2,1,1,1,Control,4.0,57.0,35.5,U,4.0,56079.66,6.0,9.0
401,75381,1,1,0,0,0,Control,14.0,170.0,25.0,M,2.0,114364.65,0.0,3.0
403,75642,1,1,1,1,1,Control,18.0,225.0,77.5,M,3.0,478108.05,6.0,9.0
404,76424,1,1,1,1,1,Control,7.0,95.0,69.5,U,2.0,445627.21,6.0,9.0
409,76776,3,3,2,2,1,Control,27.0,330.0,62.5,M,2.0,56115.88,1.0,4.0
410,77071,2,1,2,2,1,Control,5.0,69.0,46.5,U,2.0,35284.29,1.0,4.0
416,78728,2,1,1,1,0,Control,6.0,76.0,34.0,U,3.0,49798.3,4.0,7.0
418,78917,2,2,0,0,0,Control,24.0,296.0,68.0,M,2.0,341682.08,3.0,7.0
419,79127,3,3,1,1,1,Control,27.0,331.0,64.5,F,2.0,484262.45,6.0,9.0
420,79229,2,1,1,0,0,Control,15.0,182.0,42.0,F,2.0,62537.7,2.0,5.0
422,79571,1,1,1,1,2,Control,10.0,122.0,53.0,F,2.0,228555.67,4.0,7.0
424,79679,1,1,1,1,4,Control,14.0,168.0,57.5,F,2.0,35868.44,3.0,6.0
425,79819,5,0,0,0,0,Control,14.0,178.0,42.0,M,2.0,1272087.54,4.0,7.0
429,80127,3,3,1,1,1,Control,15.0,185.0,45.5,M,4.0,178829.02999999997,6.0,9.0
430,80241,3,1,0,0,0,Control,13.0,157.0,65.0,F,2.0,33963.69,4.0,7.0
433,80559,1,1,1,1,1,Control,15.0,181.0,51.5,F,3.0,44164.31,1.0,4.0
435,80915,1,1,1,2,1,Control,9.0,112.0,48.0,M,2.0,71263.61,6.0,9.0
436,81102,1,1,1,1,1,Control,34.0,408.0,58.5,M,3.0,135623.99,6.0,9.0
439,81601,2,1,1,1,7,Control,4.0,57.0,32.5,U,3.0,116399.3,5.0,8.0
441,81816,1,1,1,0,0,Control,8.0,102.0,51.0,U,2.0,40549.35,0.0,3.0
442,81976,1,1,1,1,1,Control,24.0,289.0,52.5,F,2.0,274847.33,0.0,3.0
444,82376,1,1,1,1,1,Control,11.0,142.0,32.0,M,2.0,36187.4,6.0,9.0
446,82566,1,1,1,1,1,Control,12.0,148.0,74.5,M,2.0,25887.67,2.0,5.0
447,82712,26,1,4,4,0,Control,22.0,272.0,59.0,F,3.0,255048.74,2.0,5.0
448,82723,4,1,1,1,0,Control,4.0,58.0,35.0,U,2.0,77802.83,3.0,6.0
450,82869,1,1,1,1,1,Control,8.0,101.0,27.5,U,2.0,32542.3,1.0,4.0
451,83158,1,1,1,1,1,Control,16.0,196.0,54.5,F,2.0,65664.87,0.0,3.0
452,83447,3,5,4,2,1,Control,17.0,214.0,48.5,M,2.0,190150.37,6.0,9.0
455,83683,1,0,0,0,0,Control,5.0,68.0,31.0,U,2.0,62792.96,6.0,9.0
457,84108,1,1,1,1,1,Control,6.0,80.0,60.0,U,2.0,269677.92,4.0,7.0
459,84480,3,2,1,1,1,Control,12.0,154.0,58.5,F,2.0,36141.56,2.0,5.0
461,84624,1,1,1,1,1,Control,20.0,243.0,46.5,U,2.0,86439.87,1.0,4.0
464,85097,6,2,0,0,0,Control,11.0,137.0,65.0,M,3.0,657489.4,4.0,7.0
465,85286,4,3,0,0,0,Control,25.0,301.0,22.0,M,2.0,25235.17,2.0,5.0
466,85515,4,3,3,5,0,Control,28.0,342.0,75.0,F,2.0,45766.9,1.0,4.0
467,85793,1,1,3,3,1,Control,6.0,82.0,63.5,U,2.0,62159.88,3.0,6.0
469,86499,1,1,1,1,3,Control,5.0,69.0,21.5,U,2.0,36656.0,2.0,5.0
470,86616,1,3,2,1,1,Control,5.0,60.0,30.5,U,2.0,38001.13,6.0,9.0
471,86699,1,1,1,1,1,Control,23.0,286.0,27.5,M,2.0,32339.26,2.0,5.0
474,87162,2,1,1,1,3,Control,26.0,317.0,63.5,M,3.0,2189968.42,6.0,9.0
475,87218,2,3,1,1,1,Control,5.0,70.0,27.5,U,2.0,54924.77,6.0,9.0
476,87300,2,1,1,1,1,Control,5.0,70.0,27.5,U,2.0,44234.56,1.0,4.0
480,88378,2,1,0,0,0,Control,3.0,47.0,61.0,U,2.0,240872.67,6.0,9.0
481,88723,2,1,1,1,1,Control,3.0,46.0,66.5,F,3.0,196777.77,5.0,9.0
482,88759,1,1,1,1,1,Control,23.0,286.0,73.5,M,2.0,75154.45,2.0,5.0
485,89052,1,1,1,1,1,Control,15.0,186.0,49.5,M,2.0,43000.55,0.0,3.0
486,89108,0,0,1,1,1,Control,15.0,189.0,44.5,F,2.0,156971.33000000002,3.0,6.0
487,89116,1,1,1,1,1,Control,18.0,219.0,23.5,M,2.0,115852.67,4.0,7.0
490,89645,4,2,1,0,0,Control,12.0,145.0,32.0,F,2.0,101009.18,2.0,5.0
497,90596,2,2,2,2,1,Control,4.0,55.0,48.0,F,2.0,325687.11,5.0,8.0
505,92808,3,2,1,1,1,Control,5.0,71.0,47.0,U,2.0,54410.67,0.0,3.0
507,93127,4,2,1,1,1,Control,8.0,97.0,44.0,U,2.0,63226.31,4.0,7.0
515,94012,0,0,0,0,2,Control,16.0,197.0,71.0,F,3.0,1495486.24,5.0,8.0
517,94510,2,1,1,1,0,Control,9.0,109.0,45.0,M,3.0,76675.48,6.0,9.0
521,94778,1,1,1,1,1,Control,8.0,101.0,64.5,U,2.0,173731.26,4.0,7.0
527,96548,1,1,1,0,0,Control,14.0,173.0,63.0,F,3.0,44508.44,1.0,4.0
529,96845,1,1,0,0,0,Control,4.0,59.0,61.0,U,3.0,52771.42999999999,1.0,5.0
531,97170,1,1,0,0,0,Control,16.0,202.0,38.0,M,2.0,28863.99,4.0,7.0
532,97322,1,0,0,0,0,Control,5.0,69.0,35.0,U,2.0,31812.06,2.0,5.0
535,97723,1,1,1,1,1,Control,15.0,186.0,27.5,M,2.0,87408.56,4.0,7.0
536,97966,4,4,3,1,0,Control,9.0,109.0,40.0,M,2.0,46556.82,2.0,5.0
539,98860,1,1,1,1,1,Control,8.0,103.0,29.0,U,2.0,27295.26,3.0,6.0
540,99149,2,2,2,2,1,Control,12.0,150.0,35.5,F,2.0,87226.92,6.0,9.0
542,99811,2,1,1,1,1,Control,13.0,167.0,38.5,F,2.0,127989.93,6.0,9.0
545,100503,4,1,1,1,1,Control,8.0,106.0,21.0,M,3.0,52099.62,6.0,9.0
546,100888,1,1,1,1,1,Control,7.0,92.0,40.5,U,2.0,224604.12,3.0,6.0
548,101143,2,0,0,0,0,Control,9.0,112.0,68.0,M,2.0,56628.39,4.0,7.0
550,101246,3,0,0,0,0,Control,6.0,75.0,59.0,M,3.0,315998.6,4.0,8.0
551,101818,1,1,1,1,1,Control,13.0,158.0,46.5,F,2.0,41108.67999999999,4.0,7.0
552,102859,3,0,0,0,0,Control,7.0,89.0,72.0,U,2.0,57714.95,2.0,5.0
554,103515,1,1,1,1,1,Control,18.0,220.0,45.5,F,2.0,59792.4,1.0,6.0
559,104328,4,4,3,3,1,Control,8.0,106.0,36.5,M,3.0,125732.44,6.0,9.0
561,104781,2,2,2,1,1,Control,10.0,121.0,39.5,M,2.0,28228.64,1.0,4.0
562,104884,3,3,2,1,1,Control,28.0,346.0,83.0,M,3.0,182794.47,5.0,8.0
564,105007,1,0,0,0,0,Control,9.0,118.0,35.0,F,2.0,34897.47,3.0,6.0
565,105026,2,1,1,1,1,Control,15.0,180.0,62.5,F,2.0,56041.6,6.0,9.0
566,105357,2,1,1,1,1,Control,23.0,283.0,82.0,F,2.0,448385.03,3.0,6.0
567,105360,1,1,3,3,1,Control,5.0,65.0,56.5,U,2.0,49990.47,2.0,5.0
568,105623,3,1,1,1,1,Control,10.0,121.0,36.0,U,2.0,25662.19,6.0,9.0
571,106457,9,1,2,0,0,Control,9.0,119.0,91.0,M,2.0,289064.42,6.0,9.0
573,108335,7,1,1,1,0,Control,4.0,58.0,25.0,U,2.0,29973.03,6.0,9.0
575,108438,3,2,2,2,1,Control,6.0,76.0,28.5,U,2.0,27972.64,4.0,7.0
577,109175,2,2,2,2,0,Control,4.0,58.0,38.0,U,2.0,47264.48,4.0,7.0
578,109413,1,1,0,0,0,Control,21.0,255.0,51.0,M,3.0,2149931.05,2.0,5.0
579,109465,1,1,1,3,1,Control,5.0,65.0,27.5,U,2.0,52054.67,0.0,3.0
581,109859,2,1,1,1,1,Control,28.0,338.0,67.5,F,2.0,533338.01,3.0,6.0
582,109932,4,4,1,1,0,Control,12.0,153.0,44.0,M,4.0,118520.54,4.0,7.0
587,110890,1,1,0,0,0,Control,22.0,274.0,83.0,F,2.0,158661.21999999997,0.0,3.0
588,111012,2,2,3,1,1,Control,8.0,97.0,30.0,U,2.0,59543.55,4.0,7.0
590,111304,1,1,1,1,1,Control,8.0,100.0,33.5,U,2.0,99011.94,0.0,3.0
591,111477,2,1,0,0,0,Control,20.0,249.0,55.0,F,3.0,84826.22,5.0,8.0
592,112128,1,1,1,1,2,Control,10.0,124.0,28.0,U,2.0,82314.39,3.0,6.0
599,114459,2,1,2,2,0,Control,22.0,264.0,49.0,U,2.0,35746.35,5.0,8.0
600,114541,3,2,2,2,1,Control,11.0,134.0,35.0,M,3.0,115103.84,3.0,6.0
602,114566,1,1,1,1,1,Control,17.0,210.0,49.5,M,4.0,1207869.8299999998,6.0,9.0
603,114780,1,0,0,0,0,Control,7.0,89.0,28.0,U,2.0,58839.75,4.0,7.0
606,115597,1,1,0,0,0,Control,16.0,202.0,54.0,M,2.0,24678.8,6.0,9.0
607,115834,7,1,1,1,0,Control,6.0,80.0,43.0,U,2.0,77246.63,2.0,5.0
609,115973,1,1,1,1,1,Control,9.0,113.0,30.5,M,2.0,60878.64,1.0,4.0
611,116345,1,1,1,1,1,Control,14.0,176.0,51.5,F,2.0,99985.54,0.0,3.0
613,116505,4,0,0,0,0,Control,4.0,58.0,25.0,U,2.0,38586.87,2.0,5.0
